"sku","image","images"
"B0CLKJM3KH","","[""/uploads/7e6c698c79c5b023.jpg"",""/uploads/92c58487dbf8c936.jpg"",""/uploads/c1baa42244c397aa.jpg"",""/uploads/1460878619805b03.jpg"",""/uploads/da558a69652353e4.jpg"",""/uploads/b1c91e2737bce447.jpg"",""/uploads/1742242b93956f32.jpg""]"
"B0CLRFB9PH","","[""/uploads/e054292a9c88ae54.jpg"",""/uploads/7eff0d57737d2b88.jpg"",""/uploads/4dd92e3439ced2e0.jpg"",""/uploads/16418005e782aad7.jpg"",""/uploads/c742e3da618e2ccd.jpg"",""/uploads/adce9ac8d933eb26.jpg""]"
"B0CLRHND4W","","[""/uploads/538a94e3d307c8b3.jpg"",""/uploads/559644e0abcad609.jpg"",""/uploads/c60e39b21a2c612c.jpg"",""/uploads/a652ea033ee60c6a.jpg"",""/uploads/4dd92e3439ced2e0.jpg"",""/uploads/684d18c1c7ed538a.jpg"",""/uploads/337fddeefc033c8d.jpg""]"
"B0CLRF71TM","","[""/uploads/491d5fea1b2de688.jpg"",""/uploads/231c1994e0c6df76.jpg"",""/uploads/093af79dcc703d07.jpg"",""/uploads/bae14dc0f2865c67.jpg"",""/uploads/92caafe9334bab8a.jpg"",""/uploads/874b054b042d0686.jpg"",""/uploads/f2a95081c574a90d.jpg""]"
"B0CLRFZ3FZ","","[""/uploads/443791a1ca7b0c53.jpg"",""/uploads/012f8b48cafef506.jpg"",""/uploads/7bfdb7c8c8b4108c.jpg"",""/uploads/2250dc81293d1000.jpg""]"
"B0CLRGJTDM","","[""/uploads/8bfe9b1317b1ef7e.jpg"",""/uploads/9a7bc1b09241a1fc.jpg"",""/uploads/45dfdf5d018b47e7.jpg"",""/uploads/8f7930db9864a161.jpg"",""/uploads/8f02cd8e069186c9.jpg"",""/uploads/1796d2dc4784ae7a.jpg"",""/uploads/3b54d26c06a0cb10.jpg""]"
"B0CPSHSZ37","","[""/uploads/c2b127e751699b8c.jpg"",""/uploads/9de4d7625721e7e7.jpg"",""/uploads/76b6655d8a43a311.jpg"",""/uploads/6ac541ecae33e308.jpg"",""/uploads/ba807f6836a1df0a.jpg"",""/uploads/86afb805f1d21238.jpg"",""/uploads/3c760292d76caeee.jpg""]"
"B0CPSLV6CB","","[""/uploads/c2b127e751699b8c.jpg"",""/uploads/9de4d7625721e7e7.jpg"",""/uploads/19d76cd4c82c0124.jpg"",""/uploads/6ac541ecae33e308.jpg"",""/uploads/ba807f6836a1df0a.jpg"",""/uploads/86afb805f1d21238.jpg"",""/uploads/3c760292d76caeee.jpg""]"
"B0CPSGWLR5","","[""/uploads/c2b127e751699b8c.jpg"",""/uploads/9de4d7625721e7e7.jpg"",""/uploads/ba807f6836a1df0a.jpg"",""/uploads/76b6655d8a43a311.jpg"",""/uploads/86afb805f1d21238.jpg"",""/uploads/3c760292d76caeee.jpg""]"
"B0CPSJZ53C","","[""/uploads/c2b127e751699b8c.jpg"",""/uploads/9de4d7625721e7e7.jpg"",""/uploads/19d76cd4c82c0124.jpg"",""/uploads/6ac541ecae33e308.jpg"",""/uploads/ba807f6836a1df0a.jpg"",""/uploads/86afb805f1d21238.jpg"",""/uploads/3c760292d76caeee.jpg""]"
